suite,id,name,status,severity,detail
Used Cars Remaining,UC-REM-04,"Playwright e2e covers /used-cars",FAIL,P2,"e2e specs=3; used-cars mentioned=False"
Diagnosis Existence,DX-01,"Angular /vehicle-diagnosis route",PASS,—,"app.routes.ts"
Diagnosis Existence,DX-02,"Navbar AI Diagnosis link",PASS,—,"navbar"
Diagnosis Existence,DX-03,"API POST /diagnosis/analyse",PASS,—,"routers/diagnosis.py"
Diagnosis Gaps,DG-01,"Image upload UI in Angular wizard",PASS,P1,"upload UI=True; sends image_urls=True; real blob upload=False"
Diagnosis Gaps,DG-01b,"Photos uploaded to storage (not filenames only)",FAIL,P1,"image_urls currently map(f => f.name) — filenames only, not hosted URLs"
Diagnosis Gaps,DG-03,"History UI on Angular",FAIL,P2,"API history endpoint exists=True; Angular history UI=False"
Diagnosis Gaps,DG-04,"Next.js /diagnosis page exists",PASS,P1,"apps/web/app/diagnosis/page.tsx"
Diagnosis Gaps,DG-05,"user_id attached from auth session when available",PASS,P2,"Anonymous sessions still omit user_id (expected); logged-in users attach id"
Valuation Gaps,VR-01,"ApiService uses listings/{id}/valuate (not dead /ai/valuation)",PASS,P1,"valuateListing=True; dead getAIValuation still present=False"
Valuation Gaps,VR-02,"Next.js standalone /valuation page",PASS,P1,"apps/web/app/valuation/page.tsx"
Valuation Gaps,VR-03,"Shared valuation-engine.ts present",PASS,—,"valuation-engine.ts"
Valuation Gaps,VR-04,"Angular valuation fallback banner",PASS,—,"ai-valuation.component.html honesty/fallback copy"
Valuation Gaps,VR-05,"Playwright e2e for diagnosis/valuation",FAIL,P2,"No dedicated e2e for diagnosis/valuation routes"
Diagnosis Gaps,DG-06,"Next diagnosis page has photo upload",PASS,P1,"apps/web/app/diagnosis/page.tsx"
Diagnosis Gaps,DG-07,"Nearest service centre modal present",PASS,—,"bookService / service centre flow"
New Cars Gaps,NC-01,"Above ₹30L uses open max (null) not 1 Cr cap",FAIL,P0,"budgetRanges Above ₹30L max=100000000 — fix lives on cursor/fix-new-cars-module-85e1, NOT on Claude tip"
New Cars Gaps,NC-02,"Budget chips filter on-page (fix-branch behavior)",FAIL,P0,"applyBudget=False; navigateToBudget=True; budgetFilterLabel=False"
New Cars Gaps,NC-03,"Electric / Luxury special-case mapping present",PASS,P1,"Electric/Luxury handling strings in component"
New Cars Gaps,NC-04,"No aeplcdn hotlinks in new-cars component",PASS,—,"placeholder.svg used"
New Cars Gaps,NC-05,"New Cars fix commit merged into Claude tip",FAIL,P0,"cursor/fix-new-cars-module-85e1 (dbf9026) is NOT an ancestor of claude/gaadiiq-app-dev-abj5fo"
Advisor Spot,AD-01,"Angular advisor wired to POST /recommend",FAIL,P1,"Still client-side rule scoring; not calling API /recommend"
Advisor Spot,AD-02,"LLM / ai-chat in Angular advisor",FAIL,P2,"No LLM chat path in ai-advisor.component.ts"
Advisor Spot,AD-03,"Client-side scoring engine present (working path)",PASS,—,"Local scoring still the active recommendation path"
Advisor Spot,AD-04,"Playwright e2e for /ai-advisor",FAIL,P2,"No dedicated Angular advisor e2e"
Advisor Spot,AD-05,"Single unified advisor experience (Angular + Next)",FAIL,P1,"Angular multi-step quiz vs Next recommend flow remain divergent (no unification commit on tip)"
