id,area,priority,requirement,status,evidence,gap,justification
BR-AI-08,AI Diagnosis,Must Have,Recommended next steps,PASS,recommended_steps + How to Fix,—,Actionable guidance
BR-AI-09,AI Diagnosis,Should Have,Preventive maintenance suggestions,PASS,preventive_maintenance,—,Upsell prevention
BR-AI-10,AI Diagnosis,Should Have,Follow-up questions when required,PARTIAL,Missing-field asks only,Post-diagnosis follow_up_questions[],Improve low-confidence cases
BR-UX-01,UX,Must Have,Mobile-first design,PARTIAL,Responsive SCSS + layout e2e,Dedicated mobile shell polish,Primary usage is phone
BR-UX-02,UX,Must Have,Progress indicators,PASS,Steps 1–3 wizard progress,—,Orient user in flow
BR-UX-03,UX,Must Have,Conversation history,PARTIAL,Past Diagnoses panel + GET /history,No multi-turn conversation DB/UI; open-by-id weak,Revisit prior advice
BR-UX-04,UX,Must Have,Voice/Text switching,PASS,Mode selector Step 1,—,User preference
BR-UX-05,UX,Must Have,Error handling,PASS,STT + diagnosis error cards,—,Recoverable failures
BR-UX-06,UX,Should Have,Offline handling,PARTIAL,clientFallback when API down,Offline banner; STT needs network,Low-connectivity India
BR-SEC-01,Security,Must Have,Microphone permissions,PARTIAL,Browser not-allowed string only,Android RECORD_AUDIO + Capacitor helper,OS-level mic access
BR-SEC-02,Security,Must Have,Voice data encryption,PARTIAL,TLS in transit assumed,At-rest encryption design for recordings,Protect voice PII
BR-SEC-03,Security,Must Have,Secure storage,PARTIAL,Postgres + R2 for images,Transcripts not stored securely,Controlled retention
BR-SEC-04,Security,Must Have,User consent for voice processing,FAIL,Generic privacy pages only,Pre-STT consent modal (purpose/retention),DPDP / lawful processing
BR-SEC-05,Security,Must Have,Delete recordings,FAIL,Nothing voice-persisted yet,Retention + DELETE voice APIs,User control of biometric-adjacent data
BR-SEC-06,Security,Must Have,Privacy compliance (DPDP),PARTIAL,Disclaimer copy,Diagnosis/voice delete UX,India DPDP Act readiness
BR-PERF-01,Performance,Must Have,Fast response time,PARTIAL,Heuristic fallback fast,Ollama timeout ≤8s → fallback,Perceived performance
BR-PERF-02,Performance,Should Have,High STT accuracy,PARTIAL,Browser STT + noisy retry,WER benchmarks per language,Voice trust
BR-PERF-03,Performance,Must Have,High AI response accuracy,PARTIAL,KB+Ollama,Golden-set fixtures in CI,Safety + usefulness
BR-API-01,API,Must Have,STT API,FAIL,Browser-only,POST /diagnosis/stt (multipart),WebView production path
BR-API-02,API,Must Have,TTS API,FAIL,Browser-only,POST /diagnosis/tts optional,Consistent voice quality
BR-API-03,API,Should Have,Language detection API,FAIL,Client-only heuristic,POST /diagnosis/detect-language,Server-side lang detect
BR-API-04,API,Should Have,Translation API,PARTIAL,Internal _translate_diagnosis,Not standalone endpoint,Reuse across modules
BR-API-05,API,Must Have,AI Diagnosis API,PASS,POST /diagnosis/analyse,—,Core backend
BR-API-06,API,Must Have,Image upload API,PASS,POST /upload/image,—,Media pipeline
BR-API-07,API,Must Have,Audio upload API,FAIL,Missing,POST /upload/audio,Persist engine audio
BR-DB-01,Database,Must Have,Voice transcript storage,FAIL,Missing,voice_transcripts (consent-gated),Audit + improve STT
BR-DB-02,Database,Must Have,Conversation history storage,FAIL,In-session memory only,diagnosis_conversations,Multi-turn persistence
BR-DB-03,Database,Must Have,AI diagnosis history,PASS,vehicle_diagnoses + Past Diagnoses UI,—,User revisit
BR-DB-04,Database,Should Have,Audit logs,FAIL,Missing,diagnosis_audit_events,Compliance + debug
BR-TEST-01,Quality,Must Have,Automated diagnosis tests,FAIL,No test_diagnosis.py / extractor specs,Add pytest + unit tests,Prevent regressions
BR-AND-01,Mobile,Must Have,Android RECORD_AUDIO permission,FAIL,Manifest has CAMERA/location only,Add RECORD_AUDIO + runtime request,APK mic required
